dutyName,dutyTel3,hpid,hv10,hv11,hv13,hv14,hv16,hv17,hv18,hv19,hv21,hv22,hv23,hv24,hv25,hv26,hv28,hv29,hv30,hv31,hv35,hv36,hv40,hv41,hv42,hv43,hv5,hv7,hvamyn,hvangioayn,hvcrrtayn,hvctayn,hvec,hvecmoayn,hvgc,hvhypoayn,hvicc,hvidate,hvincuayn,hvmriayn,hvncc,hvoc,hvoxyayn,hvs01,hvs02,hvs03,hvs04,hvs05,hvs08,hvs17,hvs18,hvs19,hvs22,hvs24,hvs25,hvs26,hvs27,hvs28,hvs29,hvs30,hvs31,hvs32,hvs33,hvs34,hvs35,hvs36,hvs37,hvs38,hvs46,hvs47,hvs49,hvs50,hvs51,hvs52,hvs53,hvs54,hvs55,hvs56,hvs57,hvs58,hvventiayn,hvventisoayn,phpid,rnum,hv2,hv3,hv34,hvs06,hvs07,hvs15,hv27,hvs59,hvccc,hvs16,query_sido,query_sigungu,hvcc,hvs11,hv61,hvs61,hv6,hvs12,hv32,hvs09,hv15,hv33,hv37,hvs10,hvs20,hvs48,hv38,hv9,hvs14,hvs21,hv39,hv60,hvs23,hvs60
한양대학교구리병원,1644-9118,A2100039,Y,Y,,,,,,,,,,,,,,2,2,,,,,2,Y,,Y,Y,Y,Y,Y,Y,2,Y,192,Y,,20260524122259,Y,Y,7,8,N1,18,,3,2,,10,,,,9,,5,1,3,2,3,21,6,14,4,2,2,,,488,,,,,,,,,,,,,Y,Y,A2100039,1,1,0,,17,14,,,,,,경기도,구리시,,,,,,,,,,,,,,,,,,,,,,
효산의료재단지샘병원,031-389-3119,A2100054,,,,,,,,,,,,,,,,2,1,,1,,,0,,,Y,Y,Y,Y,Y,Y,14,N1,110,N1,10,20260524122529,N1,Y,,5,N1,18,,2,1,,,18,1,,5,,2,,2,1,3,11,,,2,,,,,367,,,,,,,,,,,,,Y,N1,A2100054,1,,,,,,,1,1,,,경기도,군포시,,,,,,,,,,,,,,,,,,,,,,
원광대학교산본병원,031-390-2345,A2100048,,,,,,,,,,,,,,,,1,2,,,,,,Y,,Y,Y,Y,Y,Y,Y,15,N1,73,N1,4,20260524121824,N1,Y,,5,N1,17,,1,2,,,12,,,5,,,1,1,1,1,1,,,2,,,,,188,,,,,,,,,,,,,Y,N1,A2100048,2,,,,,,,,,,,경기도,군포시,,,,,,,,,,,,,,,,,,,,,,
의료법인우리의료재단김포우리병원,031-999-1119,A2100053,,,,,,,,,,,,0,0,0,,1,6,,0,,,2,,,Y,Y,Y,Y,Y,Y,14,Y,80,Y,5,20260524122419,N1,Y,,7,N1,22,,1,6,,,36,1,,7,,11,,2,2,2,48,,,4,1,2,,,477,,,,,,,,,,0,0,0,Y,N1,A2100053,1,,,,,,,,,,,경기도,김포시,,,,,,,,,,,,,,,,,,,,,,
의료법인인봉의료재단뉴고려병원,031-980-9119,A2100006,,,,,,,,,,,,,,,,1,2,,6,,,,,,Y,Y,Y,Y,Y,Y,10,N1,93,N1,4,20260524122203,N1,Y,,6,N1,14,,1,2,,,24,10,,6,,,,2,2,2,7,,,1,,,,,278,,,,,,,,,,,,,Y,N1,A2100006,2,,,,,,,2,3,,,경기도,김포시,,,,,,,,,,,,,,,,,,,,,,
남양주한양병원,031-510-0119,A2100041,,,,,,,,,,,,,,,,1,2,,-11,,,,,,Y,Y,Y,Y,Y,Y,15,N1,75,N1,2,20260524122448,N1,Y,,,N1,17,,1,2,,,17,3,,,,,,2,2,1,33,,,2,,,,,244,,,,,,,,,,,,,Y,N1,A2100041,1,,,,,,,,,,,경기도,남양주시,,,,,,,,,,,,,,,,,,,,,,
현대병원,031-574-0114,A2100037,,,,,,,,,,,,,,,,3,,,5,,,,,,Y,Y,Y,Y,Y,Y,10,N1,96,Y,1,20260524122506,N1,Y,,7,N1,17,,3,,,,19,20,,7,,,,2,2,2,50,,,17,,2,,,342,,,,,,,,,,,,,Y,N1,A2100037,2,,,,,,,,,,,경기도,남양주시,,,,,,,,,,,,,,,,,,,,,,
엘병원,031-527-6119,A2118188,,,,,,,,,,,,,,,,,2,,1,,,1,,,Y,,Y,N1,N1,Y,6,N1,37,N1,1,20260524122521,N1,Y,,3,N1,8,,,2,,,8,1,,3,,1,,1,1,,2,,,,,,,,146,,,,,,,,,,,,,Y,N1,A2118188,3,,,,,,,,,,,경기도,남양주시,,,,,,,,,,,,,,,,,,,,,,
순천향대학교부속부천병원,032-621-5117,A2100005,Y,Y,2,0,,,,,,0,,0,0,,1,0,0,8,5,19,,1,Y,Y,Y,Y,Y,Y,Y,Y,5,Y,288,Y,4,20260524122122,Y,Y,2,21,Y,17,5,0,0,20,24,20,8,34,21,,7,1,4,3,5,71,9,31,17,4,3,1,1,674,2,3,,,,,,0,,0,0,,Y,Y,A2100005,1,1,7,,16,15,,,,,,경기도,부천시,,,-2,5,,,,,,,,,,,,,,,,,,
부천세종병원,032-340-1119,A2100055,Y,Y,,,,,,,,,,,,,,1,2,,1,,,1,Y,,Y,Y,Y,Y,Y,Y,13,Y,85,Y,5,20260524122510,Y,Y,,6,N1,17,,1,2,,,22,2,,6,,6,1,2,1,5,18,1,1,5,4,1,,,271,,,,,,,,,,,,,Y,Y,A2100055,2,,,,,,,,,,,경기도,부천시,,,,,,,,,,,,,,,,,,,,,,
가톨릭대학교부천성모병원,032-340-2100,A2100052,Y,Y,,,,,,,,,,,,,,2,1,,1,,,2,Y,,Y,Y,Y,Y,Y,Y,5,Y,246,Y,,20260524122508,Y,Y,8,14,N1,31,,2,1,,10,,4,,14,,4,3,3,3,3,28,4,14,11,1,2,,,562,,,,,,,,,,,,,Y,Y,A2100052,3,4,3,,16,12,,3,3,,,경기도,부천시,,,,,2,18,,,,,,,,,,,,,,,,
의료법인대인의료재단 다니엘종합병원,032-670-0119,A2100050,,,,,,,,,,,,,,,,1,3,,0,,,,,,Y,,Y,N1,N,Y,0,N1,57,N1,6,20260524122502,N1,Y,,3,N1,6,,1,3,,,30,1,,3,,,,1,1,,17,,,1,,,,,169,,,,,,,,,,,,,Y,N1,A2100050,4,,,,,,,,,,,경기도,부천시,,,,,,,,,,,,,,,,,,,,,,
분당서울대학교병원,031-787-3119,A2100001,Y,Y,,,,,2,,,,5,9,,,2,2,2,1,1,18,1,1,Y,,Y,Y,Y,Y,Y,Y,-19,Y,427,Y,3,20260524122300,Y,Y,2,38,N1,30,5,2,3,15,35,8,1,30,39,15,3,3,11,11,11,128,17,39,16,8,8,,,1247,,,,,5,,,,5,9,,,Y,Y,A2100001,1,1,10,4,13,13,9,,,,,경기도,성남시,,,2,2,3,10,0,6,,,,,,,,,,,,,,
차의과학대학교분당차병원,031-780-5840,A2100030,Y,Y,2,3,1,2,0,,,,0,,0,,2,,,2,0,13,4,,Y,,Y,Y,Y,Y,Y,Y,11,Y,230,Y,,20260524122155,Y,Y,7,26,N1,22,11,,,14,35,,4,43,26,22,,8,5,3,4,40,26,46,6,2,2,,,726,2,3,1,2,2,,,,0,,1,,Y,Y,A2100030,2,1,2,0,9,8,6,0,0,,,경기도,성남시,,,,,1,7,,,1,0,4,2,6,1,,,,,,,,
대진의료재단분당제생병원,031-779-0119,A2100025,Y,Y,,,,,,,,,7,,,,3,1,2,,4,,,2,Y,Y,Y,Y,Y,Y,Y,Y,11,Y,184,Y,,20260524122500,Y,Y,1,9,N1,24,3,1,2,,3,,4,,9,,2,2,4,3,3,22,1,5,5,2,3,1,,484,,,,,,,,,7,,,,Y,Y,A2100025,3,4,8,,11,14,,,,,,경기도,성남시,,,,,,,,,,,,,,,,,,,,,,
성남시의료원,031-738-7300,A2116806,,,,,,,,,,,,,,,6,2,4,,2,,,28,,,Y,Y,Y,Y,Y,Y,15,Y,119,Y,,20260524122500,N1,Y,,8,Y,17,6,2,4,,,,5,,8,,28,,3,2,2,31,,,6,3,1,,2,241,,,,,,,,,,,,,Y,N1,A2116806,4,,17,,,25,,,,,,경기도,성남시,,,,,,,,,,,,,,,,,,,,,,
국군수도병원,031-725-6119,A2100258,,,,,,,,,,,,1,6,,,0,,,1,,2,,,,Y,Y,Y,Y,Y,Y,16,Y,160,N1,5,20260524122013,N1,Y,,9,N1,16,,2,,,,12,1,,9,15,,,3,4,2,2,,,5,2,,,,530,,,,,,,,,,2,6,,Y,N1,A2100258,5,,,,,,,,,,,경기도,성남시,,,,,,,,,,,,,,,10,14,20,40,,,,
순천의료재단성남정병원,031-750-6003,A2100016,,,,,,,,,,0,,,51,,,2,,,,,,,,,Y,,Y,N1,N1,Y,9,N1,75,N1,,20260524122314,N1,Y,,4,N1,9,,2,,,,,,,4,,,,1,1,,1,,,,,,,,98,,,,,,,,0,,,105,,Y,N1,A2100016,6,,,,,,,,,,,경기도,성남시,,,,,,,,,,,,,,,,,,,,,,
성남중앙병원,031-799-5599,A2100011,,,,,,,,,,,,,,,,,1,,,,,,,,Y,,Y,N1,N1,Y,8,N1,,N1,,20260524122146,N1,Y,,5,N1,9,,,1,,,,,,5,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,Y,N1,A2100011,7,,,,,,,,,,,경기도,성남시,,,,,,,,,,,,,,,,,,,,,,
아주대학교병원,031-219-7777,A2100002,Y,Y,2,4,3,,0,,,,,0,0,,5,0,0,3,0,26,5,7,Y,,Y,Y,Y,Y,Y,Y,6,Y,301,Y,,20260524122446,Y,Y,6,24,N1,30,9,0,0,16,36,,3,42,25,20,8,3,8,6,9,126,27,34,32,9,7,,,792,2,6,4,,2,,,,,0,0,,Y,Y,A2100002,1,0,2,2,14,10,7,0,0,6,11,경기도,수원시,4,6,6,6,5,13,,,1,2,3,2,6,1,9,3,40,60,2,1,3,2
의료법인명인의료재단화홍병원,031-8021-6829,A2117135,Y,,,,,,,,,,,,,,,2,3,,0,,,,,,Y,,Y,N1,N1,Y,12,Y,55,N1,8,20260524121632,N1,Y,,6,Y,15,,2,3,,,29,1,,6,,,,2,2,,4,1,,,1,,,1,228,,,,,,,,,,,,,Y,Y,A2117135,2,,,,,,,,,,,경기도,수원시,,,,,,,,,,,,,,,,,,,,,,
의료법인녹산의료재단동수원병원,031-210-0119,A2100009,,Y,,,,,,,,,,,,,,1,2,,0,,,1,Y,,Y,Y,Y,Y,N,Y,15,N1,88,N1,4,20260524122405,Y,Y,,5,N1,17,,1,2,,,20,3,,5,,1,1,2,2,1,15,,4,1,,,,,339,,,,,,,,,,,,,Y,N1,A2100009,3,,,,,,,,,,,경기도,수원시,,,,,,,,,,,,,,,,,,,,,,
가톨릭대학교성빈센트병원,031-249-7370,A2100012,Y,Y,,,1,,,,,,,,,,6,2,2,2,1,,6,6,Y,,Y,Y,Y,Y,Y,Y,5,Y,198,Y,,20260524122508,Y,Y,2,19,N1,28,6,2,2,4,18,,5,,19,30,11,2,5,4,6,52,7,18,12,4,4,,,534,,,1,,,,,,,,,,Y,Y,A2100012,4,2,8,0,20,11,8,,,0,8,경기도,수원시,,,,,7,15,,,1,2,4,2,6,1,,,,,,,,
의료법인덕산의료재단수원덕산병원,031-686-2911,A2121061,N,Y,,,,,,,,,,,,,3,1,2,2,1,4,,0,Y,,Y,Y,Y,Y,Y,Y,18,Y,87,N1,9,20260524122503,Y,Y,,9,N1,24,3,1,2,2,,22,3,4,9,,5,5,3,2,2,15,N,2,5,2,,,,403,,,,,,,,,,,,,Y,N,A2121061,5,,,,,,,,,,,경기도,수원시,,,,,,,,,,,,,,,,,,,,,,
경기도의료원수원병원,031-888-0119,A2100032,,,,,,,,,,,,,,,,,2,,,,,2,,,Y,,Y,N1,N1,Y,5,N1,55,N1,3,20260524122501,N1,Y,,3,N1,8,,,2,,,9,,,3,,2,,1,1,,9,,,,,,,,156,,,,,,,,,,,,,Y,N1,A2100032,6,,,,,,,3,3,,,경기도,수원시,,,,,,,,,,,,,,,,,,,,,,
의료법인토마스의료재단윌스기념병원,031-240-6119,A2100175,,,,,,,,,,,,,,,,1,2,,1,,,,Y,,Y,Y,Y,Y,Y,Y,9,N1,57,N1,3,20260524122351,N1,Y,,10,N1,18,,1,2,,,18,1,,10,,,1,1,4,1,1,,,1,,,,,282,,,,,,,,,,,,,Y,N1,A2100175,7,,,,,,,,,,,경기도,수원시,,,,,,,,,,,,,,,,,,,,,,
의료법인남촌의료재단시화병원,031-5189-0567,A2100008,,,,,,,,,,,,,,,5,1,4,,1,,,1,Y,,Y,Y,Y,Y,Y,Y,8,Y,88,N1,5,20260524122441,N1,Y,,7,N1,16,5,1,5,,,35,1,,7,,1,1,3,3,2,29,,,4,2,,,,461,,,,,,,,,,,,,Y,N1,A2100008,1,,,,,,,,,,,경기도,시흥시,,,,,,,,,,,,,,,,,,,,,,
의료법인석경의료재단센트럴병원,031-8041-3019,A2100027,,,,,,,,,,,,,,,,1,2,,,,,,,,Y,,Y,N1,Y,Y,15,N1,87,N1,4,20260524122331,N1,Y,,3,N1,18,,1,2,,,20,,,3,,,,2,2,,7,,,2,,,,,239,,,,,,,,,,,,,Y,N1,A2100027,2,,,,,,,,,,,경기도,시흥시,,,,,,,,,,,,,,,,,,,,,,
의료법인록향의료재단신천연합병원,031-310-6661,A2100013,,,,,,,,,,,,,,,,,1,,1,,,,,,Y,,Y,N1,Y,Y,7,N1,18,N1,1,20260524122508,N1,Y,,3,N1,10,,,1,,,6,1,,3,,,,1,1,,4,,,1,,,,,112,,,,,,,,,,,,,Y,N1,A2100013,3,,,,,,,,,,,경기도,시흥시,,,,,,,,,,,,,,,,,,,,,,
고려대학교의과대학부속안산병원,031-412-5381,A2100003,Y,Y,2,3,,1,,,,,,,,,4,,2,7,0,26,10,6,Y,,Y,Y,Y,Y,Y,Y,-2,Y,202,Y,3,20260524122351,Y,Y,7,19,N1,22,4,,3,18,25,6,1,30,20,16,10,2,3,4,4,66,15,20,8,5,3,,,605,2,3,,2,,,,,,,,,Y,Y,A2100003,1,1,5,,10,13,,,,,,경기도,안산시,,,,,,,,,,,,,,,,,,,,,,
대아의료재단한도병원,031-8040-1129,A2100017,,,,,,,,,,,,,,,,1,2,,0,,,,,,Y,Y,Y,Y,Y,Y,14,N1,85,N1,15,20260524122411,N1,Y,,6,N1,17,,1,2,,,29,1,,6,,,,3,2,2,20,,,2,,,,,343,,,,,,,,,,,,,Y,N1,A2100017,2,,,,,,,,,,,경기도,안산시,,,,,,,,,,,,,,,,,,,,,,
의료법인플러스의료재단단원병원,031-8040-5911,A2100021,,,,,,,,,,,1,,,,,1,2,,1,,,,,,Y,Y,Y,Y,Y,Y,15,Y,92,N1,12,20260524122644,N1,Y,,5,N1,17,,1,2,,,27,1,,5,,,,1,1,2,8,,,2,1,,,,342,,,,,,,,,1,,,,Y,N1,A2100021,3,,,,,,,,,,,경기도,안산시,,,,,,,,,,,,,,,,,,,,,,
근로복지공단안산병원,031-500-1119,A2100014,,,,,,,,,,,,,,,,,1,,1,,,0,,,Y,,Y,N1,N1,Y,6,N1,104,N1,12,20260524122200,N1,Y,,3,N1,7,,,1,,,18,1,,3,,2,,1,1,,14,,,,,,,,359,,,,,,,,,,,,,Y,N1,A2100014,4,,,,,,,,,,,경기도,안산시,,,,,,,,,,,,,,,,,,,,,,
의료법인칠석의료재단사랑의병원,031-502-0119,A2100124,,,,,,,,,,,,,,,,1,,,,,,,,,Y,,Y,N1,Y,Y,10,N1,61,N1,1,20260524122418,N1,Y,,4,N1,13,,1,,,,14,,,5,,,,2,2,,8,,,1,,,,,206,,,,,,,,,,,,,Y,N1,A2100124,5,,,,,,,,,,,경기도,안산시,,,,,,,,,,,,,,,,,,,,,,
경기도의료원안성병원,031-8046-5119,A2100045,,,,,,,,,,,,,,,,1,,,2,,,7,,,Y,,Y,N1,N1,Y,12,N1,63,N1,2,20260524122501,N1,Y,,5,N1,14,,1,,,,13,2,,5,,8,,1,1,,8,,,,,,,,178,,,,,,,,,,,,,Y,N1,A2100045,1,,,,,,,,,,,경기도,안성시,,,,,,,,,,,,,,,,,,,,,,
안성성모병원,031-675-8275,A2100305,,,,,,,,,,,,,,,,,1,,,,,,,,Y,,Y,N1,N1,Y,4,N1,91,N1,9,20260524122445,N1,Y,,3,N1,9,,,1,,,20,,,3,,,,1,1,,7,,,,,,,,188,,,,,,,,,,,,,Y,N1,A2100305,2,,,,,,,,,,,경기도,안성시,,,,,,,,,,,,,,,,,,,,,,
한림대학교성심병원,031-380-1500,A2100004,Y,Y,5,,,1,,,,,,,,,1,2,2,5,1,22,8,0,Y,Y,Y,Y,Y,Y,Y,Y,-7,Y,271,Y,,20260524122426,Y,Y,8,17,N1,25,3,2,4,19,9,,3,30,19,20,14,2,4,3,6,68,9,10,17,12,1,1,,610,5,,,1,,,,,,,,,Y,Y,A2100004,1,0,1,,27,16,,,,7,18,경기도,안양시,1,8,,,,,,,,,,,,,,,,,,,,
효산의료재단안양샘병원,031-467-9119,A2100015,,,,,,,,,,,,,,,,1,2,,1,,,,,,Y,Y,Y,Y,Y,Y,12,Y,100,N1,,20260524122043,N1,Y,,6,N1,17,,1,2,,,,1,,6,,,,2,1,2,12,,,2,1,,,,306,,,,,,,,,,,,,Y,N1,A2100015,2,4,1,,8,9,,,,,,경기도,안양시,,,,,,,,,,,,,,,,,,,,,,
남양주한양병원,031-510-0119,A2100041,,,,,,,,,,,,,,,,1,2,,-11,,,,,,Y,Y,Y,Y,Y,Y,15,N1,75,N1,2,20260524122448,N1,Y,,,N1,17,,1,2,,,17,3,,,,,,2,2,1,33,,,2,,,,,244,,,,,,,,,,,,,Y,N1,A2100041,1,,,,,,,,,,,경기도,양주시,,,,,,,,,,,,,,,,,,,,,,
현대병원,031-574-0114,A2100037,,,,,,,,,,,,,,,,3,,,5,,,,,,Y,Y,Y,Y,Y,Y,10,N1,96,Y,1,20260524122506,N1,Y,,7,N1,17,,3,,,,19,20,,7,,,,2,2,2,50,,,17,,2,,,342,,,,,,,,,,,,,Y,N1,A2100037,2,,,,,,,,,,,경기도,양주시,,,,,,,,,,,,,,,,,,,,,,
엘병원,031-527-6119,A2118188,,,,,,,,,,,,,,,,,2,,1,,,1,,,Y,,Y,N1,N1,Y,6,N1,37,N1,1,20260524122521,N1,Y,,3,N1,8,,,2,,,8,1,,3,,1,,1,1,,2,,,,,,,,146,,,,,,,,,,,,,Y,N1,A2118188,3,,,,,,,,,,,경기도,양주시,,,,,,,,,,,,,,,,,,,,,,
양평병원,031-770-5119,A2100089,N,N,,,,,,,,,,,,,,,1,,,,,,N,N,Y,N,Y,N,N,Y,6,N,37,N,,20260524122001,N,Y,,3,N,9,,,1,,,,,,3,,,0,1,1,0,1,0,0,0,0,0,0,0,90,,,,,,,,,,,,,Y,N,A2100089,1,,,,,,,,,,,경기도,양평군,,,,,,,,,,,,,,,,,,,,,,
세종여주병원,031-880-7754,A2100194,,,,3,,,,,,,,,,,,,4,,,,,,,,Y,,Y,N1,N1,Y,3,N1,109,N1,,20260524122502,N1,Y,,1,N1,6,,,4,,,,,,2,,,,1,1,,4,,,,,,,,196,,3,,,,,,,,,,,Y,N1,A2100194,1,,,,,,,,,,,경기도,여주시,,,,,,,,,,,,,,,,,,,,,,
연천군보건의료원,031-839-4119,E2100187,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,N1,N1,Y,10,N1,50,N1,,20260524122428,N1,N1,,2,N1,10,,,,,,,,,2,,,,1,,,1,,,,,,,,52,,,,,,,,,,,,,Y,N1,E2100187,1,,,,,,,,,,,경기도,연천군,,,,,,,,,,,,,,,,,,,,,,
오산한국병원,031-378-5119,A2100024,,,,,,,,,,,,,,,,1,2,,1,,,2,,,Y,Y,Y,Y,Y,Y,12,N1,45,Y,5,20260524122413,N1,Y,,5,N1,17,,1,2,,,34,1,,5,,2,,2,2,2,17,,,2,,1,,,262,,,,,,,,,,,,,Y,N1,A2100024,1,,,,,,,,,,,경기도,오산시,,,,,,,,,,,,,,,,,,,,,,
연세대학교의과대학용인세브란스병원,031-5189-9001,A2100020,Y,Y,,,,,,,,,,,,,5,1,2,,2,,,3,Y,,Y,Y,Y,Y,Y,Y,6,Y,208,Y,,20260524122246,Y,Y,1,15,N1,16,6,1,3,,12,,2,,15,,4,2,3,3,4,31,6,18,6,3,4,,,597,,,,,,,,,,,,,Y,Y,A2100020,1,2,2,,19,16,,,,,,경기도,용인시,,,,,,,,,,,,,,,,,,,,,,
강남병원,031-300-0119,A2100029,,,,,,,,,,,,,,,,1,2,,0,,,,,,Y,,Y,N1,Y,Y,10,N1,45,N1,7,20260524122452,N1,Y,,4,N1,17,,1,2,,,31,1,,4,,,,2,2,,7,,,2,,,,,264,,,,,,,,,,,,,Y,N1,A2100029,2,,,,,,,,,,,경기도,용인시,,,,,,,,,,,,,,,,,,,,,,
(의)영문의료재단 다보스병원,031-8021-2130,A2100019,,,,,,,,,,,,,,,,1,2,,1,,,,,,Y,,Y,N1,Y,Y,9,N1,48,N1,3,20260524122332,N1,Y,,6,N1,13,,1,2,,,25,1,,6,,,,1,1,,7,,,1,,,,,225,,,,,,,,,,,,,Y,N1,A2100019,3,,,,,,,4,4,,,경기도,용인시,,,,,,,,,,,,,,,,,,,,,,
(의)효심의료재단용인서울병원,031-336-0119,A2100122,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,N1,N1,Y,8,N1,142,N1,,20260524122310,N1,Y,,3,N1,10,,,,,,,,,3,,,,1,1,,1,,,,,,,,201,,,,,,,,,,,,,Y,N1,A2100122,4,,,,,,,,,,,경기도,용인시,,,,,,,,,,,,,,,,,,,,,,
메디필드한강병원,031-332-1119,A2121142,,,,,,,,,,,,,,,,1,2,,1,,,1,,,Y,Y,Y,Y,Y,Y,15,N1,164,N1,9,20260524122249,N1,Y,,6,N1,17,,1,2,,,15,1,,6,,1,,3,2,1,13,,,2,,,,,192,,,,,,,,,,,,,Y,N1,A2121142,5,,,,,,,,,,,경기도,용인시,,,,,,,,,,,,,,,,,,,,,,
가톨릭대학교의정부성모병원,031-820-5200,A2100040,Y,Y,,,,1,1,,,,,,,,11,2,4,8,0,19,,,Y,,Y,Y,Y,Y,Y,Y,17,Y,216,Y,4,20260524122508,Y,Y,0,12,N1,42,11,2,4,18,15,26,4,30,13,,,3,4,3,4,54,10,28,12,4,3,,,519,,,,1,1,,,,,,,,Y,Y,A2100040,1,,,0,,,6,,,,,경기도,의정부시,,,6,6,,,,,,,,,,,10,5,20,53,2,2,2,2
