dutyName,dutyTel3,hpid,hv10,hv11,hv17,hv18,hv2,hv28,hv29,hv3,hv30,hv31,hv36,hv42,hv5,hv7,hvamyn,hvangioayn,hvcrrtayn,hvctayn,hvec,hvecmoayn,hvgc,hvhypoayn,hvidate,hvincuayn,hvmriayn,hvncc,hvoc,hvoxyayn,hvs01,hvs02,hvs03,hvs04,hvs05,hvs06,hvs07,hvs08,hvs19,hvs22,hvs26,hvs27,hvs28,hvs29,hvs30,hvs31,hvs32,hvs33,hvs34,hvs35,hvs37,hvs38,hvs50,hvs51,hvventiayn,hvventisoayn,phpid,rnum,hv35,hv40,hvicc,hvs17,hvs18,hvs24,hv26,hv41,hvs25,hvs58,query_sido,query_sigungu,hv27,hvs59,hv24,hv25,hv38,hv39,hv6,hv60,hv61,hv9,hvs12,hvs14,hvs21,hvs23,hvs56,hvs57,hvs60,hvs61,hv43,hvs36,hv13,hv14,hvcc,hvs11,hvs46,hvs47,hv32,hv34,hvs09,hvs15,hv16,hv19,hv21,hv22,hv23,hvs49,hvs52,hvs53,hvs54,hvs55,hvccc,hvs16,hv15,hv33,hv37,hvs10,hvs20,hvs48
강원특별자치도원주의료원,033-760-4701,A2200015,,,,,,,,,2,,,,Y,,Y,N1,N1,Y,2,N1,1,N1,20260526115502,N1,Y,,3,N1,8,,,2,,,,,,3,,1,1,,7,,,,,,,163,,,Y,N1,A2200015,2,,,4,11,,,,,,,강원특별자치도,원주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인성지의료재단성지병원,033-760-3119,A2200024,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,4,N1,-61,N1,20260526114929,N1,Y,,4,N1,7,,,1,,,,,,4,,1,2,,4,,,,,,,135,,,Y,N1,A2200024,3,,,9,9,,,13,,,13,강원특별자치도,원주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
근로복지공단정선병원,033-560-7150,A2200048,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,5,N1,43,N1,20260526115100,N1,N1,,,N1,5,,,1,,,,,,,,1,,,3,,,,,,,149,,,Y,N1,A2200048,1,,,,,,,,,,,강원특별자치도,정선군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
철원병원,033-452-5012,A2201730,N,Y,,,,,1,,,,,Y,Y,N,Y,N,N,Y,5,N,35,N,20260526115001,Y,Y,,2,N,5,,1,,,,,,,2,1,1,1,0,1,0,1,0,0,0,0,68,,,Y,N,A2201730,1,,,,,,,,,,,강원특별자치도,철원군,,,,,,,,,,,,,,,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한림대학교춘천성심병원,033-240-5219,A2200013,Y,Y,,0,,2,,,,1,8,Y,Y,Y,Y,Y,Y,Y,6,Y,55,Y,20260526115323,Y,Y,,5,Y,22,3,,,20,,,,45,9,1,2,2,3,33,1,4,6,2,1,1,252,,2,Y,Y,A2200013,1,0,,1,20,2,,,1,2,,강원특별자치도,춘천시,,,,,,,,,,,,,,,,,,,Y,1,2,3,2,8,2,3,,,,,,,,,,,,,,,,,,,,,,
강원대학교병원,033-258-2293,A2200009,Y,Y,0,,0,4,2,,3,4,,Y,Y,Y,Y,Y,Y,Y,-1,Y,215,Y,20260526115500,Y,Y,5,7,Y,15,6,2,3,5,10,,15,,11,3,4,2,4,43,13,24,12,3,10,0,508,0,,Y,Y,A2200009,2,1,4,,,2,16,,14,14,,강원특별자치도,춘천시,,,,,,,4,,,,8,,,,,,,,Y,0,,,,,,,6,4,8,8,,,,,,,,,,,,,,,,,,
근로복지공단태백병원,033-580-3119,A2200004,,,,,,,1,,,,,Y,Y,,Y,N1,N1,Y,8,N1,68,N1,20260526115400,N1,Y,,1,N1,9,,1,,,,,,,2,1,1,1,,8,,,,,,,223,,,Y,N1,A2200004,1,1,,2,9,1,,,,,,강원특별자치도,태백시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
평창군보건의료원,033-330-4812,E2200026,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,6,N1,20,N1,20260526115501,N1,N1,,,N1,6,,,1,,,,,,,,1,,,1,,,,,,,20,,,Y,N1,E2200026,1,,,,,,,,,,,강원특별자치도,평창군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
홍천아산병원,033-430-5119,A2200014,,,,,,,,,,,,,Y,,Y,N1,N1,Y,4,N1,14,N1,20260526115003,N1,Y,,2,N1,10,,,,,,,,,2,,1,1,,4,,,,,,,128,,,Y,N1,A2200014,1,,,0,7,,,,,,,강원특별자치도,홍천군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화천군보건의료원,033-440-2880,E2200025,,,,,,,,,1,,,,,,Y,N1,N1,N1,7,N1,16,N1,20260526115500,N1,N1,,,N1,7,,,1,,,,,,,,,,,1,,,,,,,16,,,Y,N1,E2200025,1,,,,,,,,,,,강원특별자치도,화천군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
횡성대성병원,033-345-1191,A2200016,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,7,N1,28,N1,20260526115458,N1,Y,,1,N1,9,,,1,,,,,,1,,1,1,,1,,,,,,,114,,,Y,N1,A2200016,1,,,,,,,,,,,강원특별자치도,횡성군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인명지의료재단명지병원,031-810-7119,A2100042,Y,Y,0,1,,0,0,,0,7,15,Y,Y,Y,Y,Y,Y,Y,5,Y,168,Y,20260526115500,Y,Y,3,4,Y,15,0,0,3,16,,,3,28,13,2,6,3,5,49,4,5,8,5,2,2,443,4,3,Y,Y,A2100042,1,4,0,9,31,4,0,0,0,0,0,경기도,고양시,,,0,0,,,,,,,,,,,0,0,,,Y,1,3,0,,,3,2,,,,,3,2,0,0,0,3,2,0,0,0,,,,,,,,
국민건강보험공단일산병원,031-900-0761,A2100033,Y,Y,1,,0,5,2,5,2,8,5,Y,Y,Y,Y,Y,Y,Y,4,Y,142,N1,20260526115503,Y,Y,0,5,N1,23,5,2,3,19,10,16,20,29,20,2,4,3,3,60,8,28,13,5,,,648,1,,Y,Y,A2100033,2,6,13,,,11,28,0,2,4,0,경기도,고양시,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,5,,6,,1,,0,0,,1,,0,0,,,,,,,,
동국대학교일산불교병원,031-961-7777,A2100047,Y,Y,,,6,3,1,15,3,,,Y,Y,Y,Y,Y,Y,Y,6,Y,197,Y,20260526115521,Y,Y,9,4,N1,19,3,1,3,,16,20,13,,12,8,2,2,2,19,13,25,4,2,1,,522,,,Y,Y,A2100047,3,0,7,,,4,15,,0,0,,경기도,고양시,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인제대학교일산백병원,031-910-7114,A2100038,N,N,,,1,,3,1,1,,,Y,Y,Y,Y,Y,Y,Y,17,Y,138,Y,20260526115328,N,Y,,8,N1,34,,3,3,,25,32,,,17,3,3,3,4,53,18,22,7,3,1,,534,,,Y,N,A2100038,4,0,8,,,4,16,,1,2,,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,,,
의료법인자인의료재단(더자인병원),031-930-3119,A2100290,,,,,,,2,,2,,,,Y,Y,Y,Y,N1,Y,14,N1,86,N1,20260526115537,N1,Y,,5,N1,16,,2,2,,,,,,5,,2,2,1,15,,,,,,,250,,,Y,N1,A2100290,5,,,,,,,,,,,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국립암센터,031-920-0119,A2100049,,N,,,,,,,1,,,,Y,Y,Y,Y,Y,Y,4,Y,101,Y,20260526115200,N,Y,,12,N1,24,,,1,,,,,,18,,7,5,3,29,,1,8,2,7,,554,,,Y,N1,A2100049,6,9,,11,19,9,,,,,,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인성광의료재단일산차병원,031-782-8587,A2116972,Y,Y,,,,,,,3,,,Y,,,Y,N1,N1,N1,6,N1,63,N1,20260526115328,Y,N1,0,0,N1,6,,,4,,,,17,,10,9,,,,4,11,19,,,,,179,,,Y,Y,A2116972,7,1,,3,4,1,,,1,1,,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중앙대학교광명병원,02-2222-1351,A2118788,Y,Y,,,,,1,,1,,,Y,Y,Y,Y,Y,Y,Y,8,Y,186,Y,20260526115508,Y,Y,1,7,N1,21,,1,2,,,,16,,17,2,2,2,5,28,6,16,5,4,10,,584,,,Y,Y,A2118788,1,4,,10,24,6,,,0,2,,경기도,광명시,,,,,,,,,,,,,,,,,,,,,0,0,1,5,0,0,,3,,5,,,,,,,,,,,,,,,,,,
광명성애병원,02-2680-7116,A2100007,Y,Y,,,,4,1,,4,,,Y,Y,Y,Y,Y,Y,Y,1,N1,89,N1,20260526115435,Y,Y,,2,N1,11,4,1,4,,,,,,5,2,2,2,1,12,2,5,1,,,,189,,,Y,Y,A2100007,2,0,,8,13,1,,29,,,50,경기도,광명시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
참조은병원,031-881-9119,A2100155,,,,,,1,1,,3,,,,Y,Y,Y,Y,Y,Y,1,N1,59,Y,20260526115253,N1,Y,,5,N1,9,1,1,3,,,,,,7,,3,3,2,18,,,3,,2,,286,,,Y,N1,A2100155,1,0,,-2,24,1,,,1,2,,경기도,광주시,6,6,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한양대학교구리병원,1644-9118,A2100039,Y,Y,,,1,,2,2,2,,,Y,Y,Y,Y,Y,Y,Y,3,Y,102,Y,20260526114800,Y,Y,7,3,N1,18,,3,2,,17,14,10,,9,1,3,2,3,21,6,14,4,2,2,,488,,,Y,Y,A2100039,1,,,,,,,,2,5,,경기도,구리시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
효산의료재단지샘병원,031-389-3119,A2100054,,,,,,,2,,1,,,,Y,Y,Y,Y,Y,Y,12,N1,86,N1,20260526115532,N1,Y,,1,N1,18,,2,1,,,,,,5,,2,1,3,11,,,2,,,,367,,,Y,N1,A2100054,1,1,,10,18,1,,,0,2,,경기도,군포시,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원광대학교산본병원,031-390-2345,A2100048,,,,,,,1,,2,,,Y,Y,Y,Y,Y,Y,Y,14,N1,63,N1,20260526115200,N1,Y,,3,N1,17,,1,2,,,,,,5,1,1,1,1,1,,,2,,,,188,,,Y,N1,A2100048,2,,,6,12,,,,,,,경기도,군포시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인우리의료재단김포우리병원,031-999-1119,A2100053,,,,,,,1,,6,,,,Y,Y,Y,Y,Y,Y,15,Y,47,Y,20260526115357,N1,Y,,2,N1,22,,1,6,,,,,,7,,2,2,2,48,,,4,1,2,,477,,,Y,N1,A2100053,1,0,,8,36,1,,0,0,11,0,경기도,김포시,,,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인인봉의료재단뉴고려병원,031-980-9119,A2100006,,,,,,,1,,2,,,,Y,Y,Y,Y,Y,Y,10,N1,76,N1,20260526115331,N1,Y,,2,N1,14,,1,2,,,,,,6,,2,2,2,7,,,1,,,,278,,,Y,N1,A2100006,2,5,,2,24,10,,,,,,경기도,김포시,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남양주한양병원,031-510-0119,A2100041,,,,,,,1,,2,,,,Y,Y,Y,Y,Y,Y,16,N1,71,N1,20260526115527,N1,Y,,,N1,17,,1,2,,,,,,,,2,2,1,33,,,2,,,,244,,,Y,N1,A2100041,1,7,,1,17,23,,,,,,경기도,남양주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대병원,031-574-0114,A2100037,,,,,,,3,,,,,,Y,Y,Y,Y,Y,Y,10,N1,93,Y,20260526115318,N1,Y,,6,N1,17,,3,,,,,,,7,,2,2,2,50,,,17,,2,,342,,,Y,N1,A2100037,2,5,,1,19,20,,,,,,경기도,남양주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘병원,031-527-6119,A2118188,,,,,,,,,2,,,,Y,,Y,N1,N1,Y,8,N1,36,N1,20260526115528,N1,Y,,2,N1,8,,,2,,,,,,3,,1,1,,2,,,,,,,146,,,Y,N1,A2118188,3,0,,1,8,1,,,0,1,,경기도,남양주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순천향대학교부속부천병원,032-621-5117,A2100005,Y,Y,,,2,0,0,4,0,3,15,Y,Y,Y,Y,Y,Y,Y,7,Y,215,Y,20260526115122,Y,Y,1,10,Y,17,5,0,0,20,16,15,24,34,21,1,4,3,5,71,9,31,17,4,3,1,674,,,Y,Y,A2100005,1,4,,2,20,8,,,1,7,,경기도,부천시,,,0,0,,,,,1,,,,,,0,0,,5,Y,1,2,0,,,2,3,,,,,,,,0,,,,,0,,,,,,,,,
부천세종병원,032-340-1119,A2100055,Y,Y,,,,,1,,2,,,Y,Y,Y,Y,Y,Y,Y,12,Y,74,Y,20260526115510,Y,Y,,3,N1,17,,1,2,,,,,,6,1,2,1,5,18,1,1,5,4,1,,271,,,Y,Y,A2100055,2,0,,4,22,2,,,1,6,,경기도,부천시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가톨릭대학교부천성모병원,032-340-2100,A2100052,Y,Y,,,5,,2,1,1,,,Y,Y,Y,Y,Y,Y,Y,6,Y,190,Y,20260526115508,Y,Y,7,4,N1,31,,2,1,,16,12,10,,14,3,3,3,3,28,4,14,11,1,2,,562,,,Y,Y,A2100052,3,1,,,,4,,,1,4,,경기도,부천시,3,3,,,,,1,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인대인의료재단 다니엘종합병원,032-670-0119,A2100050,,,,,,,1,,3,,,,Y,,Y,N1,N,Y,4,N1,56,N1,20260526115503,N1,Y,,1,N1,6,,1,3,,,,,,3,,1,1,,17,,,1,,,,169,,,Y,N1,A2100050,4,1,,1,30,1,,,,,,경기도,부천시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
분당서울대학교병원,031-787-3119,A2100001,Y,Y,,3,2,1,1,6,2,3,17,Y,Y,Y,Y,Y,Y,Y,-33,Y,172,Y,20260526115300,Y,Y,2,9,N1,30,5,2,3,15,13,13,35,30,39,3,11,11,11,128,17,39,16,8,8,,1247,,5,Y,Y,A2100001,1,0,0,3,8,1,15,,1,3,,경기도,성남시,,,9,,,,0,,1,,10,,,,9,,,2,,,,,,,,,1,3,6,9,,,,,5,,,,,5,,,,,,,,
차의과학대학교분당차병원,031-780-5840,A2100030,Y,Y,0,0,0,3,,0,,0,9,Y,Y,Y,Y,Y,Y,Y,0,Y,166,Y,20260526115116,Y,Y,9,4,N1,22,11,,,14,9,8,35,43,26,8,5,3,4,40,26,46,6,2,2,,726,2,2,Y,Y,A2100030,2,1,5,,,4,22,,,,,경기도,성남시,0,0,,0,,,0,,,,7,,,,,1,,,,,1,2,,,2,3,,1,,6,1,,,,0,1,,,,0,,,1,0,4,2,6,1
대진의료재단분당제생병원,031-779-0119,A2100025,Y,Y,,,3,3,1,7,2,,,Y,Y,Y,Y,Y,Y,Y,6,Y,153,Y,20260526115500,Y,Y,0,4,N1,24,3,1,2,,11,14,3,,9,2,4,3,3,22,1,5,5,2,3,,484,,,Y,Y,A2100025,3,4,,,,4,,,2,2,,경기도,성남시,,,,,,,,,,,,,,,,,,,Y,1,,,,,,,,,,,,,,,7,,,,,7,,,,,,,,
성남시의료원,031-738-7300,A2116806,,,,,,6,2,18,4,,,,Y,Y,Y,Y,Y,Y,12,Y,120,Y,20260526115501,N1,Y,,6,Y,17,6,2,4,,,25,,,8,,3,2,2,31,,,6,3,1,2,241,,,Y,N1,A2116806,4,2,,,,5,,,28,28,,경기도,성남시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국군수도병원,031-725-6119,A2100258,,,,,,,0,,,,,,Y,Y,Y,Y,Y,Y,15,Y,146,N1,20260526115013,N1,Y,,9,N1,16,,2,,,,,,,9,,3,4,2,2,,,5,2,,,530,,,Y,N1,A2100258,5,1,0,4,12,1,15,,,,,경기도,성남시,,,1,6,9,,,,,14,,20,40,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순천의료재단성남정병원,031-750-6003,A2100016,,,,,,,2,,,,,,Y,,Y,N1,N1,Y,8,N1,78,N1,20260526115125,N1,Y,,4,N1,9,,2,,,,,,,4,,1,1,,1,,,,,,,98,,,Y,N1,A2100016,6,,,,,,,,,,,경기도,성남시,,,,48,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,
성남중앙병원,031-799-5599,A2100011,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,6,N1,,N1,20260526115148,N1,Y,,5,N1,9,,,1,,,,,,5,,1,1,,2,,,,,,,,,,Y,N1,A2100011,7,,,,,,,,,,,경기도,성남시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아주대학교병원,031-219-7777,A2100002,Y,Y,,1,1,6,0,-1,0,0,23,Y,Y,Y,Y,Y,Y,Y,6,Y,212,Y,20260526115104,Y,Y,1,5,N1,30,9,0,0,16,14,10,36,42,25,3,8,6,9,126,27,34,32,9,7,,792,,2,Y,Y,A2100002,1,0,7,,,3,20,,6,8,,경기도,수원시,0,0,0,0,4,1,3,2,6,1,13,40,60,3,0,0,2,6,,,2,2,2,6,2,6,,2,,7,2,,,,,4,,,,,5,11,1,0,1,2,6,1
의료법인명인의료재단화홍병원,031-8021-6829,A2117135,Y,,,,,,2,,3,,,,Y,,Y,N1,N1,Y,8,Y,61,N1,20260526114825,N1,Y,,3,Y,15,,2,3,,,,,,6,,2,2,,4,1,,,1,,1,228,,,Y,Y,A2117135,2,0,,7,29,1,,,,,,경기도,수원시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인녹산의료재단동수원병원,031-210-0119,A2100009,,Y,,,,,1,,1,,,Y,Y,Y,Y,Y,Y,Y,12,N1,95,N1,20260526115116,Y,Y,,2,N1,17,,1,2,,,,,,5,1,2,2,1,15,,4,1,,,,339,,,Y,N1,A2100009,3,0,,2,20,3,,,0,1,,경기도,수원시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가톨릭대학교성빈센트병원,031-249-7370,A2100012,Y,Y,,,8,-8,2,4,1,1,,Y,Y,Y,Y,Y,Y,Y,1,Y,87,Y,20260526115507,Y,Y,1,8,N1,28,6,2,2,4,20,11,18,,19,2,5,4,6,52,7,18,12,4,4,,534,,,Y,Y,A2100012,4,2,7,,,5,30,,7,11,,경기도,수원시,,,,,,,3,,,,15,,,,,,,,,,,,,,,,,4,,8,1,,,,,1,,,,,1,8,1,2,4,2,6,1
의료법인덕산의료재단수원덕산병원,031-686-2911,A2121061,N,Y,,,,3,1,,2,2,4,Y,Y,Y,Y,Y,Y,Y,22,Y,93,N1,20260526115504,Y,Y,,6,N1,24,3,1,2,2,,,,4,9,5,3,2,2,15,N,2,5,2,,,403,,,Y,N,A2121061,5,1,,8,22,3,,,0,5,,경기도,수원시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도의료원수원병원,031-888-0119,A2100032,,,,,,,,,2,,,,Y,,Y,N1,N1,Y,7,N1,49,N1,20260526115501,N1,Y,,2,N1,8,,,2,,,,,,3,,1,1,,9,,,,,,,156,,,Y,N1,A2100032,6,,,2,9,,,,2,2,,경기도,수원시,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인토마스의료재단윌스기념병원,031-240-6119,A2100175,,,,,,,1,,2,,,Y,Y,Y,Y,Y,Y,Y,16,N1,55,N1,20260526115357,N1,Y,,6,N1,18,,1,2,,,,,,10,1,1,4,1,1,,,1,,,,282,,,Y,N1,A2100175,7,1,,1,18,1,,,,,,경기도,수원시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인남촌의료재단시화병원,031-5189-0567,A2100008,,,,,,5,1,,4,,,Y,Y,Y,Y,Y,Y,Y,13,Y,62,N1,20260526115444,N1,Y,,7,N1,16,5,1,5,,,,,,7,1,3,3,2,29,,,4,2,,,461,,,Y,N1,A2100008,1,1,,4,35,1,,,1,1,,경기도,시흥시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인석경의료재단센트럴병원,031-8041-3019,A2100027,,,,,,,1,,2,,,,Y,,Y,N1,Y,Y,18,N1,89,N1,20260526115303,N1,Y,,2,N1,18,,1,2,,,,,,3,,2,2,,7,,,2,,,,239,,,Y,N1,A2100027,2,,,7,20,,,,,,,경기도,시흥시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인록향의료재단신천연합병원,031-310-6661,A2100013,,,,,,,,,1,,,,Y,,Y,N1,Y,Y,5,N1,13,N1,20260526115509,N1,Y,,2,N1,10,,,1,,,,,,3,,1,1,,4,,,1,,,,112,,,Y,N1,A2100013,3,0,,2,6,1,,,,,,경기도,시흥시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
