realtime_hospital_name,realtime_emergency_tel,hpid,pediatric_ventilator_status,incubator_status,avail_er_dedicated_icu_negative_pressure,avail_er_dedicated_icu_general_isolation,avail_icu_internal_medicine,avail_pediatric_beds,avail_er_negative_pressure_isolation_beds,avail_icu_surgery,avail_er_general_isolation_beds,avail_er_dedicated_icu,avail_er_dedicated_inpatient_beds,delivery_room_status,ct_status,angio_status,available_ambulance_yn,available_angio_yn,available_crrt_yn,available_ct_yn,avail_er_general_beds,available_ecmo_yn,avail_inpatient_general_beds,available_targeted_temperature_management_yn,realtime_updated_at,available_incubator_yn,available_mri_yn,avail_icu_neonatal,avail_operating_rooms,available_hyperbaric_oxygen_yn,standard_er_general_beds,standard_pediatric_beds,standard_er_negative_pressure_isolation_beds,standard_er_general_isolation_beds,standard_er_dedicated_icu,standard_icu_internal_medicine,standard_icu_surgery,standard_icu_neonatal,standard_er_dedicated_inpatient_beds,standard_operating_rooms,standard_delivery_rooms,standard_ct,standard_mri,standard_angio,standard_ventilator_general,standard_ventilator_premature,standard_incubator,standard_crrt,standard_ecmo,standard_targeted_temperature_management,standard_hyperbaric_oxygen,standard_inpatient_general_beds,standard_er_dedicated_icu_negative_pressure,standard_er_dedicated_icu_general_isolation,available_ventilator_yn,available_ventilator_premature_yn,old_hpid,avail_icu_negative_pressure_isolation,avail_psychiatric_closed_ward_beds,avail_icu_general,standard_icu_general,standard_icu_negative_pressure_isolation,standard_psychiatric_closed_ward_beds,avail_infection_moderate_beds,avail_inpatient_negative_pressure_isolation,standard_inpatient_negative_pressure_isolation,standard_infection_moderate_beds,query_sido,query_sigungu,avail_cohort_isolation,standard_cohort_isolation,avail_infection_severe_beds,avail_infection_semi_severe_beds,avail_trauma_dedicated_inpatient_beds,avail_trauma_dedicated_operating_rooms,avail_icu_neurosurgery,avail_trauma_resuscitation_room,avail_trauma_patient_care_area,avail_icu_trauma,standard_icu_neurosurgery,standard_icu_trauma,standard_trauma_dedicated_inpatient_beds,standard_trauma_dedicated_operating_rooms,standard_infection_severe_beds,standard_infection_semi_severe_beds,standard_trauma_resuscitation_room,standard_trauma_patient_care_area,avail_burn_treatment_room,standard_burn_treatment_room,avail_isolation_negative_pressure_area_beds,avail_isolation_general_area_beds,avail_icu_neurology,standard_icu_neurology,standard_isolation_negative_pressure_area_beds,standard_isolation_general_area_beds,avail_icu_pediatric,avail_icu_cardiology,standard_icu_pediatric,standard_icu_cardiology,avail_pediatric_general_isolation,avail_er_dedicated_inpatient_negative_pressure,avail_er_dedicated_inpatient_general_isolation,avail_infectious_disease_icu_beds,avail_infectious_disease_icu_negative_pressure_beds,standard_pediatric_general_isolation,standard_er_dedicated_inpatient_negative_pressure,standard_er_dedicated_inpatient_general_isolation,standard_infectious_disease_icu_beds,standard_infectious_disease_icu_negative_pressure_beds,avail_icu_thoracic_surgery,standard_icu_thoracic_surgery,avail_pediatric_negative_pressure_isolation,avail_er_dedicated_pediatric_icu,avail_er_dedicated_pediatric_inpatient_beds,standard_er_dedicated_pediatric_icu,standard_er_dedicated_pediatric_inpatient_beds,standard_pediatric_negative_pressure_isolation,collected_at
강원특별자치도원주의료원,033-760-4701,A2200015,,,,,,,,,2.0,,,,Y,,Y,N1,N1,Y,3,N1,7.0,N1,20260523193501,N1,Y,,3.0,N1,8.0,,,2.0,,,,,,3.0,,1.0,1.0,,7.0,,,,,,,163.0,,,Y,N1,A2200015,,,3.0,11.0,,,,,,,강원특별자치도,원주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인성지의료재단성지병원,033-760-3119,A2200024,,,,,,,,,1.0,,,,Y,,Y,N1,N1,Y,2,N1,-66.0,N1,20260523193510,N1,Y,,4.0,N1,7.0,,,1.0,,,,,,4.0,,1.0,2.0,,4.0,,,,,,,135.0,,,Y,N1,A2200024,,,9.0,9.0,,,13.0,,,13.0,강원특별자치도,원주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
근로복지공단정선병원,033-560-7150,A2200048,,,,,,,,,1.0,,,,Y,,Y,N1,N1,Y,5,N1,44.0,N1,20260523193300,N1,N1,,,N1,5.0,,,1.0,,,,,,,,1.0,,,3.0,,,,,,,149.0,,,Y,N1,A2200048,,,,,,,,,,,강원특별자치도,정선군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
철원병원,033-452-5012,A2201730,N,Y,,,,,1.0,,,,,Y,Y,N,Y,N,N,Y,4,N,38.0,N,20260523193001,Y,Y,,2.0,N,5.0,,1.0,,,,,,,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,68.0,,,Y,N,A2201730,,,,,,,,,,,강원특별자치도,철원군,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
한림대학교춘천성심병원,033-240-5219,A2200013,Y,Y,,0.0,,2.0,,,,1.0,18.0,Y,Y,Y,Y,Y,Y,Y,10,Y,101.0,Y,20260523193327,Y,Y,,9.0,Y,22.0,3.0,,,20.0,,,,45.0,9.0,1.0,2.0,2.0,3.0,33.0,1.0,4.0,6.0,2.0,1.0,1.0,252.0,,2.0,Y,Y,A2200013,1.0,,3.0,20.0,2.0,,,1.0,2.0,,강원특별자치도,춘천시,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,0.0,8.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
강원대학교병원,033-258-2293,A2200009,Y,Y,0.0,,5.0,2.0,2.0,,3.0,5.0,,Y,Y,Y,Y,Y,Y,Y,0,Y,256.0,Y,20260523193500,Y,Y,8.0,11.0,Y,15.0,6.0,2.0,3.0,5.0,10.0,,15.0,,11.0,3.0,4.0,2.0,4.0,43.0,13.0,24.0,12.0,3.0,10.0,0.0,508.0,0.0,,Y,Y,A2200009,2.0,4.0,,,2.0,16.0,,14.0,14.0,,강원특별자치도,춘천시,,,,,,,4.0,,,,8.0,,,,,,,,,0.0,,,,,,,7.0,7.0,8.0,8.0,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
근로복지공단태백병원,033-580-3119,A2200004,,,,,,,1.0,,,,,Y,Y,,Y,N1,N1,Y,6,N1,69.0,N1,20260523193400,N1,Y,,2.0,N1,9.0,,1.0,,,,,,,2.0,1.0,1.0,1.0,,8.0,,,,,,,223.0,,,Y,N1,A2200004,1.0,,3.0,9.0,1.0,,,,,,강원특별자치도,태백시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
평창군보건의료원,033-330-4812,E2200026,,,,,,,,,1.0,,,,Y,,Y,N1,N1,Y,5,N1,20.0,N1,20260523193501,N1,N1,,,N1,6.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,20.0,,,Y,N1,E2200026,,,,,,,,,,,강원특별자치도,평창군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
홍천아산병원,033-430-5119,A2200014,,,,,,,,,,,,,Y,,Y,N1,N1,Y,6,N1,23.0,N1,20260523193001,N1,Y,,2.0,N1,10.0,,,,,,,,,2.0,,1.0,1.0,,4.0,,,,,,,128.0,,,Y,N1,A2200014,,,0.0,7.0,,,,,,,강원특별자치도,홍천군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
화천군보건의료원,033-440-2880,E2200025,,,,,,,,,1.0,,,,,,Y,N1,N1,N1,7,N1,16.0,N1,20260523193500,N1,N1,,,N1,7.0,,,1.0,,,,,,,,,,,1.0,,,,,,,16.0,,,Y,N1,E2200025,,,,,,,,,,,강원특별자치도,화천군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
횡성대성병원,033-345-1191,A2200016,,,,,,,,,1.0,,,,Y,,Y,N1,N1,Y,6,N1,41.0,N1,20260523193441,N1,Y,,1.0,N1,9.0,,,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,114.0,,,Y,N1,A2200016,,,,,,,,,,,강원특별자치도,횡성군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인명지의료재단명지병원,031-810-7119,A2100042,Y,Y,0.0,0.0,,0.0,0.0,,1.0,5.0,18.0,Y,Y,Y,Y,Y,Y,Y,9,Y,202.0,Y,20260523193500,Y,Y,3.0,13.0,Y,15.0,0.0,0.0,3.0,16.0,,,3.0,28.0,13.0,2.0,6.0,3.0,5.0,49.0,4.0,5.0,8.0,5.0,2.0,2.0,443.0,4.0,3.0,Y,Y,A2100042,4.0,0.0,9.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,경기도,고양시,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,1.0,3.0,2.0,,,3.0,2.0,,,,,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,,,,,,,,,2026-05-23 19:35:48
국민건강보험공단일산병원,031-900-0761,A2100033,Y,Y,1.0,,2.0,3.0,2.0,9.0,3.0,7.0,10.0,Y,Y,Y,Y,Y,Y,Y,6,Y,180.0,N1,20260523193003,Y,Y,0.0,1.0,N1,23.0,5.0,2.0,3.0,19.0,10.0,16.0,20.0,29.0,2.0,2.0,4.0,3.0,3.0,60.0,8.0,28.0,13.0,5.0,,,648.0,1.0,,Y,Y,A2100033,8.0,11.0,,,11.0,28.0,0.0,2.0,4.0,0.0,경기도,고양시,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,6.0,,6.0,,1.0,,0.0,0.0,,1.0,,0.0,0.0,,,,,,,,,2026-05-23 19:35:48
동국대학교일산불교병원,031-961-7777,A2100047,Y,Y,,,4.0,3.0,1.0,17.0,3.0,,,Y,Y,Y,Y,Y,Y,Y,8,Y,275.0,Y,20260523193446,Y,Y,10.0,12.0,N1,19.0,3.0,1.0,3.0,,16.0,20.0,13.0,,12.0,8.0,2.0,2.0,2.0,19.0,13.0,25.0,4.0,2.0,1.0,,522.0,,,Y,Y,A2100047,0.0,8.0,,,4.0,15.0,,0.0,0.0,,경기도,고양시,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
인제대학교일산백병원,031-910-7114,A2100038,N,N,,,2.0,,3.0,2.0,3.0,,,Y,Y,Y,Y,Y,Y,Y,16,Y,217.0,Y,20260523193420,N,Y,,16.0,N1,34.0,,3.0,3.0,,25.0,32.0,,,17.0,3.0,3.0,3.0,4.0,53.0,18.0,22.0,7.0,3.0,1.0,,534.0,,,Y,N,A2100038,2.0,6.0,,,4.0,16.0,,1.0,2.0,,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,2026-05-23 19:35:48
의료법인자인의료재단(더자인병원),031-930-3119,A2100290,,,,,,,2.0,,2.0,,,,Y,Y,Y,Y,N1,Y,15,N1,90.0,N1,20260523193451,N1,N,,5.0,N1,16.0,,2.0,2.0,,,,,,5.0,,2.0,2.0,1.0,15.0,,,,,,,250.0,,,Y,N1,A2100290,,,,,,,,,,,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
국립암센터,031-920-0119,A2100049,,N,,,,,,,1.0,,,,Y,Y,Y,Y,Y,Y,15,Y,124.0,Y,20260523193200,N,Y,,18.0,N1,24.0,,,1.0,,,,,,18.0,,7.0,5.0,3.0,29.0,,1.0,8.0,2.0,7.0,,554.0,,,Y,N1,A2100049,9.0,,10.0,19.0,9.0,,,,,,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인성광의료재단일산차병원,031-782-8587,A2116972,Y,Y,,,,,,,2.0,,,Y,,,Y,N1,N1,N1,1,N1,77.0,N1,20260523193355,Y,N1,0.0,10.0,N1,6.0,,,4.0,,,,17.0,,10.0,9.0,,,,4.0,11.0,19.0,,,,,179.0,,,Y,Y,A2116972,1.0,,3.0,4.0,1.0,,,1.0,1.0,,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
중앙대학교광명병원,02-2222-1351,A2118788,Y,Y,,,,,1.0,,2.0,,,Y,Y,Y,Y,Y,Y,Y,14,Y,247.0,Y,20260523193507,Y,Y,3.0,17.0,N1,21.0,,1.0,2.0,,,,16.0,,17.0,2.0,2.0,2.0,5.0,28.0,6.0,16.0,5.0,4.0,10.0,,584.0,,,Y,Y,A2118788,3.0,,7.0,24.0,6.0,,,0.0,2.0,,경기도,광명시,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,5.0,0.0,0.0,,3.0,,5.0,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
광명성애병원,02-2680-7116,A2100007,Y,Y,,,,4.0,1.0,,4.0,,,Y,Y,Y,Y,Y,Y,Y,7,N1,74.0,N1,20260523193441,Y,Y,,5.0,N1,11.0,4.0,1.0,4.0,,,,,,5.0,2.0,2.0,2.0,1.0,12.0,2.0,5.0,1.0,,,,189.0,,,Y,Y,A2100007,0.0,,9.0,13.0,1.0,,22.0,,,50.0,경기도,광명시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
참조은병원,031-881-9119,A2100155,,,,,,1.0,1.0,,3.0,,,,Y,Y,Y,Y,Y,Y,-1,N1,84.0,Y,20260523193510,N1,Y,,7.0,N1,9.0,1.0,1.0,3.0,,,,,,7.0,,3.0,3.0,2.0,18.0,,,3.0,,2.0,,286.0,,,Y,N1,A2100155,0.0,,2.0,24.0,1.0,,,1.0,2.0,,경기도,광주시,6.0,6.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
한양대학교구리병원,1644-9118,A2100039,Y,Y,,,1.0,,2.0,3.0,2.0,,,Y,Y,Y,Y,Y,Y,Y,7,Y,176.0,Y,20260523193300,Y,Y,7.0,8.0,N1,18.0,,3.0,2.0,,17.0,14.0,10.0,,9.0,1.0,3.0,2.0,3.0,21.0,6.0,14.0,4.0,2.0,2.0,,488.0,,,Y,Y,A2100039,,,,,,,,2.0,5.0,,경기도,구리시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
효산의료재단지샘병원,031-389-3119,A2100054,,,,,,,2.0,,1.0,,,,Y,Y,Y,Y,Y,Y,12,N1,114.0,N1,20260523193528,N1,Y,,5.0,N1,18.0,,2.0,1.0,,,,,,5.0,,2.0,1.0,3.0,11.0,,,2.0,,,,367.0,,,Y,N1,A2100054,1.0,,9.0,18.0,1.0,,,0.0,2.0,,경기도,군포시,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
원광대학교산본병원,031-390-2345,A2100048,,,,,,,0.0,,2.0,,,Y,Y,Y,Y,Y,Y,Y,11,N1,71.0,N1,20260523193207,N1,Y,,5.0,N1,17.0,,1.0,2.0,,,,,,5.0,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,188.0,,,Y,N1,A2100048,,,5.0,12.0,,,,,,,경기도,군포시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인우리의료재단김포우리병원,031-999-1119,A2100053,,,,,,,1.0,,6.0,,,,Y,Y,Y,Y,Y,Y,10,Y,83.0,Y,20260523193417,N1,Y,,7.0,N1,22.0,,1.0,6.0,,,,,,7.0,,2.0,2.0,2.0,48.0,,,4.0,1.0,2.0,,477.0,,,Y,N1,A2100053,0.0,,1.0,36.0,1.0,,0.0,2.0,11.0,0.0,경기도,김포시,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인인봉의료재단뉴고려병원,031-980-9119,A2100006,,,,,,,1.0,,2.0,,,,Y,Y,Y,Y,Y,Y,8,N1,92.0,N1,20260523193500,N1,Y,,6.0,N1,14.0,,1.0,2.0,,,,,,6.0,,2.0,2.0,2.0,7.0,,,1.0,,,,278.0,,,Y,N1,A2100006,7.0,,4.0,24.0,10.0,,,,,,경기도,김포시,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
순천향대학교부속부천병원,032-621-5117,A2100005,Y,Y,,,3.0,-1.0,0.0,7.0,0.0,8.0,24.0,Y,Y,Y,Y,Y,Y,Y,9,Y,275.0,Y,20260523193122,Y,Y,2.0,21.0,Y,17.0,5.0,0.0,0.0,20.0,16.0,15.0,24.0,34.0,21.0,1.0,4.0,3.0,5.0,71.0,9.0,31.0,17.0,4.0,3.0,1.0,674.0,,,Y,Y,A2100005,4.0,,8.0,20.0,8.0,,,0.0,7.0,,경기도,부천시,,,0.0,0.0,,,,,-3.0,,,,,,0.0,0.0,,5.0,,1.0,2.0,0.0,,,2.0,3.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,2026-05-23 19:35:48
부천세종병원,032-340-1119,A2100055,Y,Y,,,,,1.0,,2.0,,,Y,Y,Y,Y,Y,Y,Y,13,Y,93.0,Y,20260523193510,Y,Y,,6.0,N1,17.0,,1.0,2.0,,,,,,6.0,1.0,2.0,1.0,5.0,18.0,1.0,1.0,5.0,4.0,1.0,,271.0,,,Y,Y,A2100055,0.0,,5.0,22.0,2.0,,,1.0,6.0,,경기도,부천시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
가톨릭대학교부천성모병원,032-340-2100,A2100052,Y,Y,,,3.0,,2.0,2.0,1.0,,,Y,Y,Y,Y,Y,Y,Y,19,Y,221.0,Y,20260523193508,Y,Y,8.0,14.0,N1,31.0,,2.0,1.0,,16.0,12.0,10.0,,14.0,3.0,3.0,3.0,3.0,28.0,4.0,14.0,11.0,1.0,2.0,,562.0,,,Y,Y,A2100052,1.0,,,,4.0,,,2.0,4.0,,경기도,부천시,3.0,3.0,,,,,3.0,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인대인의료재단 다니엘종합병원,032-670-0119,A2100050,,,,,,,1.0,,3.0,,,,Y,,Y,N1,N,Y,4,N1,58.0,N1,20260523193503,N1,Y,,3.0,N1,6.0,,1.0,3.0,,,,,,3.0,,1.0,1.0,,17.0,,,1.0,,,,169.0,,,Y,N1,A2100050,0.0,,8.0,30.0,1.0,,,,,,경기도,부천시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
