hpid,old_hpid_x,hospital_name,dutyAddr,sido,sigungu,emergency_type_code,emergency_type_name,tel_main,emergency_tel,lat,lon,realtime_hospital_name,realtime_emergency_tel,pediatric_ventilator_status,incubator_status,avail_er_dedicated_icu_negative_pressure,avail_er_dedicated_icu_general_isolation,avail_icu_internal_medicine,avail_pediatric_beds,avail_er_negative_pressure_isolation_beds,avail_icu_surgery,avail_er_general_isolation_beds,avail_er_dedicated_icu,avail_er_dedicated_inpatient_beds,delivery_room_status,ct_status,angio_status,available_ambulance_yn,available_angio_yn,available_crrt_yn,available_ct_yn,avail_er_general_beds,available_ecmo_yn,avail_inpatient_general_beds,available_targeted_temperature_management_yn,realtime_updated_at,available_incubator_yn,available_mri_yn,avail_icu_neonatal,avail_operating_rooms,available_hyperbaric_oxygen_yn,standard_er_general_beds,standard_pediatric_beds,standard_er_negative_pressure_isolation_beds,standard_er_general_isolation_beds,standard_er_dedicated_icu,standard_icu_internal_medicine,standard_icu_surgery,standard_icu_neonatal,standard_er_dedicated_inpatient_beds,standard_operating_rooms,standard_delivery_rooms,standard_ct,standard_mri,standard_angio,standard_ventilator_general,standard_ventilator_premature,standard_incubator,standard_crrt,standard_ecmo,standard_targeted_temperature_management,standard_hyperbaric_oxygen,standard_inpatient_general_beds,standard_er_dedicated_icu_negative_pressure,standard_er_dedicated_icu_general_isolation,available_ventilator_yn,available_ventilator_premature_yn,old_hpid_y,avail_icu_negative_pressure_isolation,avail_psychiatric_closed_ward_beds,avail_icu_general,standard_icu_general,standard_icu_negative_pressure_isolation,standard_psychiatric_closed_ward_beds,avail_infection_moderate_beds,avail_inpatient_negative_pressure_isolation,standard_inpatient_negative_pressure_isolation,standard_infection_moderate_beds,query_sido,query_sigungu,avail_cohort_isolation,standard_cohort_isolation,avail_infection_severe_beds,avail_infection_semi_severe_beds,avail_trauma_dedicated_inpatient_beds,avail_trauma_dedicated_operating_rooms,avail_icu_neurosurgery,avail_trauma_resuscitation_room,avail_trauma_patient_care_area,avail_icu_trauma,standard_icu_neurosurgery,standard_icu_trauma,standard_trauma_dedicated_inpatient_beds,standard_trauma_dedicated_operating_rooms,standard_infection_severe_beds,standard_infection_semi_severe_beds,standard_trauma_resuscitation_room,standard_trauma_patient_care_area,avail_burn_treatment_room,standard_burn_treatment_room,avail_isolation_negative_pressure_area_beds,avail_isolation_general_area_beds,avail_icu_neurology,standard_icu_neurology,standard_isolation_negative_pressure_area_beds,standard_isolation_general_area_beds,avail_icu_pediatric,avail_icu_cardiology,standard_icu_pediatric,standard_icu_cardiology,avail_pediatric_general_isolation,avail_er_dedicated_inpatient_negative_pressure,avail_er_dedicated_inpatient_general_isolation,avail_infectious_disease_icu_beds,avail_infectious_disease_icu_negative_pressure_beds,standard_pediatric_general_isolation,standard_er_dedicated_inpatient_negative_pressure,standard_er_dedicated_inpatient_general_isolation,standard_infectious_disease_icu_beds,standard_infectious_disease_icu_negative_pressure_beds,avail_icu_thoracic_surgery,standard_icu_thoracic_surgery,avail_pediatric_negative_pressure_isolation,avail_er_dedicated_pediatric_icu,avail_er_dedicated_pediatric_inpatient_beds,standard_er_dedicated_pediatric_icu,standard_er_dedicated_pediatric_inpatient_beds,standard_pediatric_negative_pressure_isolation,collected_at,severe_hospital_name,severe_myocardial_infarction_reperfusion_yn,severe_infant_intussusception_obstruction_yn,severe_adult_gi_emergency_endoscopy_yn,severe_infant_gi_emergency_endoscopy_yn,severe_adult_bronchial_emergency_endoscopy_yn,severe_infant_bronchial_emergency_endoscopy_yn,severe_low_birth_weight_infant_intensive_care_yn,severe_obstetric_delivery_yn,severe_obstetric_surgery_yn,severe_gynecologic_surgery_yn,severe_burn_specialized_treatment_yn,severe_cerebral_infarction_reperfusion_yn,severe_finger_toe_replantation_yn,severe_other_limb_replantation_yn,severe_emergency_dialysis_hd_yn,severe_emergency_dialysis_crrt_yn,severe_psychiatric_emergency_closed_ward_yn,severe_ophthalmic_emergency_surgery_yn,severe_adult_interventional_radiology_yn,severe_infant_interventional_radiology_yn,severe_er_gatekeeper_yn,severe_subarachnoid_hemorrhage_surgery_yn,severe_other_cerebral_hemorrhage_surgery_yn,severe_thoracic_aortic_emergency_yn,severe_abdominal_aortic_emergency_yn,severe_gallbladder_disease_yn,severe_biliary_tract_disease_yn,severe_nontraumatic_abdominal_emergency_surgery_yn,severe_infant_intussusception_obstruction_msg,severe_infant_gi_emergency_endoscopy_msg,severe_low_birth_weight_infant_msg,severe_infant_interventional_radiology_msg,query_sido_severe,query_sigungu_severe,severe_infant_bronchial_emergency_endoscopy_msg,severe_collected_at
A1200020,A1200020,의료법인 온그룹의료재단 온병원,"부산광역시 부산진구 가야대로 719, ,767,721,본관 지하3~11층 전부,12층 일부,13~14층 전부,15층 일부,신관 1층, 9층 일부 (당감동)",부산광역시,부산진구,G006,지역응급의료센터,051-607-0114,051-607-0139,35.15787735996765,129.04998435792845,의료법인 온그룹의료재단 온병원,051-607-0139,,,,,,,1.0,,2.0,,,,Y,Y,Y,Y,Y,Y,9.0,N1,161.0,N1,20260523193037,N1,Y,,9.0,Y,20.0,,1.0,2.0,,,,,,9.0,,4.0,2.0,2.0,7.0,,,1.0,,,1.0,584.0,,,Y,N1,A1200020,0.0,1.0,11.0,23.0,1.0,1.0,,4.0,6.0,,부산광역시,부산진구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,의료법인 온그룹의료재단 온병원,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,Y,Y,Y,,,,,부산광역시,부산진구,,2026-05-23 19:35:48
A1200009,A1200009,의료법인 광혜의료재단 광혜병원,"부산광역시 동래구 충렬대로 96 (온천동, 광혜병원)",부산광역시,동래구,G007,지역응급의료기관,051-503-2111,051-504-2119,35.207033333333335,129.07113611111112,의료법인 광혜의료재단 광혜병원,051-504-2119,,,,,,,2.0,,1.0,,,,Y,,Y,N1,N1,Y,4.0,N1,66.0,N1,20260523193425,N1,Y,,3.0,N1,9.0,,2.0,1.0,,,,,,3.0,,1.0,1.0,,4.0,,,,,,,190.0,,,Y,N1,A1200009,,,4.0,9.0,,,,1.0,1.0,,부산광역시,동래구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,의료법인 광혜의료재단 광혜병원,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,,,,,부산광역시,동래구,,2026-05-23 19:35:48
A1206845,A1206845,빌리브세웅병원,부산광역시 동래구 충렬대로 455 (안락동),부산광역시,동래구,G009,응급실운영신고기관,051-500-1100,051-500-1119,35.195932829913,129.108211921917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1200018,A1200018,대동병원,부산광역시 동래구 충렬대로 187 (명륜동),부산광역시,동래구,G006,지역응급의료센터,051-554-1233,051-550-9391,35.204273174435535,129.08021549527504,대동병원,051-550-9391,,,,,,2.0,1.0,,2.0,,,,Y,Y,Y,Y,Y,Y,11.0,N1,88.0,N1,20260523193403,N1,Y,,6.0,N1,15.0,3.0,1.0,2.0,,,,,,6.0,,2.0,1.0,1.0,10.0,,,1.0,,,,401.0,,,Y,N1,A1200018,1.0,,5.0,21.0,1.0,,,0.0,1.0,,부산광역시,동래구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,대동병원,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,Y,Y,Y,,,,,부산광역시,동래구,,2026-05-23 19:35:48
A1200011,A1200011,동래봉생병원,부산광역시 동래구 안연로109번길 27 (안락동),부산광역시,동래구,G007,지역응급의료기관,051-520-5500,051-520-5700,35.19694647632553,129.0961666077834,동래봉생병원,051-520-5700,,,,,,,1.0,,1.0,,,,Y,Y,Y,Y,Y,Y,3.0,N1,99.0,N1,20260523193358,N1,Y,,7.0,N1,8.0,,1.0,1.0,,,,,,7.0,,1.0,2.0,2.0,11.0,,,1.0,,,,241.0,,,Y,N1,A1200011,2.0,,7.0,18.0,2.0,,,,,,부산광역시,동래구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,동래봉생병원,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,,,,,부산광역시,동래구,,2026-05-23 19:35:48
A1200017,A1200017,의료법인정화의료재단 봉생기념병원,"부산광역시 동구 중앙대로 401 (좌천동, 봉생병원)",부산광역시,동구,G007,지역응급의료기관,051-664-4000,051-664-4119,35.13085783627095,129.0505708823645,의료법인정화의료재단 봉생기념병원,051-664-4119,,,,,6.0,,,5.0,1.0,,,,Y,Y,Y,Y,Y,Y,9.0,N1,84.0,N1,20260523192841,N1,Y,,8.0,N1,9.0,,,2.0,,11.0,11.0,,,8.0,,1.0,2.0,2.0,11.0,,,4.0,,,,335.0,,,Y,N1,A1200017,,14.0,,,,31.0,,1.0,1.0,,부산광역시,동구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,의료법인정화의료재단 봉생기념병원,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,N,N,Y,,,,,부산광역시,동구,,2026-05-23 19:35:48
A1200111,A1200111,세일병원,"부산광역시 동구 중앙대로 317 (초량동, 세일병원)",부산광역시,동구,G009,응급실운영신고기관,051-464-8110,051-460-5277,35.12484866424028,129.0445941872797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1200027,A1200027,재단법인일신기독교선교회 일신기독병원,부산광역시 동구 정공단로 27 (좌천동),부산광역시,동구,G009,응급실운영신고기관,051-630-0300,051-630-0415,35.13550455261155,129.0545970475024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1200026,A1200026,좋은문화병원,부산광역시 동구 범일로 119 (범일동),부산광역시,동구,G007,지역응급의료기관,051-644-2002,051-630-0909,35.1407239889452,129.05906375734872,좋은문화병원,051-630-0909,Y,Y,,,,2.0,1.0,,2.0,,,Y,Y,,Y,N1,N1,Y,2.0,N1,54.0,N1,20260523193409,Y,Y,4.0,0.0,Y,7.0,2.0,1.0,2.0,,,,12.0,,8.0,8.0,2.0,2.0,,3.0,6.0,17.0,,,,1.0,270.0,,,Y,Y,A1200026,,,2.0,8.0,,,,2.0,2.0,,부산광역시,동구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,좋은문화병원,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,,,,,부산광역시,동구,,2026-05-23 19:35:48
A1200013,A1200013,부산성모병원(재단법인 천주교부산교구유지재단),부산광역시 남구 용호로232번길 25-14 (용호동),부산광역시,남구,G007,지역응급의료기관,051-933-7114,051-933-7119,35.110457328247016,129.10919202844133,부산성모병원(재단법인 천주교부산교구유지재단),051-933-7119,Y,Y,,,,4.0,1.0,,,,,,Y,,Y,N1,Y,Y,2.0,N1,81.0,N1,20260523193309,Y,Y,3.0,7.0,N1,10.0,4.0,1.0,,,,,10.0,,7.0,,1.0,1.0,,6.0,14.0,13.0,1.0,,,,373.0,,,Y,Y,A1200013,2.0,,7.0,18.0,2.0,,,1.0,2.0,,부산광역시,남구,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,부산성모병원(재단법인 천주교부산교구유지재단),Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,,,,,부산광역시,남구,,2026-05-23 19:35:48
A1200015,A1200015,동남권원자력의학원원자력병원,부산광역시 기장군 장안읍 좌동길 40,부산광역시,기장군,G007,지역응급의료기관,051-720-5114,051-720-5911,35.321418988977406,129.24364922146094,동남권원자력의학원원자력병원,051-720-5911,,,,,,,1.0,,,,,,Y,Y,Y,Y,Y,Y,6.0,Y,120.0,N1,20260523193404,N1,Y,,8.0,N1,9.0,,1.0,,,,,,,8.0,,2.0,2.0,2.0,13.0,,,1.0,1.0,,,261.0,,,Y,N1,A1200015,,,10.0,12.0,,,,,,,부산광역시,기장군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,동남권원자력의학원원자력병원,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,N,N,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,,,,,부산광역시,기장군,,2026-05-23 19:35:48
A1200028,A1200028,(의)서일의료재단기장병원,부산광역시 기장군 기장읍 대청로72번길 6,부산광역시,기장군,G007,지역응급의료기관,051-723-0171,051-723-2119,35.23602946449906,129.21649161387128,(의)서일의료재단기장병원,051-723-2119,,,,,,,,,1.0,,,,Y,,Y,N1,N1,Y,4.0,N1,25.0,N1,20260523193506,N1,Y,,3.0,N1,9.0,,,1.0,,,,,,3.0,,1.0,1.0,,1.0,,,,,,,154.0,,,Y,N1,A1200028,,,,,,,,,,,부산광역시,기장군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,(의)서일의료재단기장병원,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,부산광역시,기장군,,2026-05-23 19:35:48
A1200081,A1200081,의료법인 라움의료재단 세웅병원,부산광역시 금정구 서동로 162 (서동),부산광역시,금정구,G009,응급실운영신고기관,051-500-9700,051-500-9671,35.214424760113644,129.10408278932294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1200139,A1200139,의료법인 갑을의료재단 갑을녹산병원,부산광역시 강서구 녹산산단321로 24-8 (송정동),부산광역시,강서구,G009,응급실운영신고기관,051-974-8300,051-974-8414,35.090573808412124,128.85332092602837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1300063,A1300063,MS재건병원,"대구광역시 중구 동덕로 194 (동인동1가, 동화빌딩)",대구광역시,중구,G009,응급실운영신고기관,053-653-0119,053-653-0119,35.8718797254,128.6048934753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1300002,A1300002,경북대학교병원,"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",대구광역시,중구,G001,권역응급의료센터,053-200-5114,053-200-5100,35.866235497221616,128.60431466100363,경북대학교병원,053-200-5100,Y,Y,,,2.0,4.0,,6.0,,9.0,32.0,Y,Y,Y,Y,Y,Y,Y,18.0,Y,229.0,Y,20260523193205,Y,Y,-7.0,17.0,N1,25.0,4.0,,,20.0,7.0,7.0,15.0,44.0,17.0,2.0,5.0,5.0,5.0,82.0,8.0,11.0,11.0,9.0,5.0,,582.0,,,Y,Y,A1300002,,7.0,,,,20.0,,2.0,5.0,,대구광역시,중구,,,,,14.0,2.0,3.0,2.0,3.0,1.0,7.0,20.0,40.0,2.0,,,2.0,6.0,,,2.0,3.0,2.0,6.0,2.0,3.0,,1.0,,10.0,,,,,,,,,,,6.0,11.0,,,,,,,2026-05-23 19:35:48,경북대학교병원,Y,N,Y,UNKNOWN,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,,,,,대구광역시,중구,,2026-05-23 19:35:48
A1303386,A1303386,계명대학교대구동산병원,"대구광역시 중구 달성로 56, 계명대학교대구동산병원 (동산동)",대구광역시,중구,G007,지역응급의료기관,053-250-8114,053-250-8481,35.869459650891685,128.5829311080459,계명대학교대구동산병원,053-250-8481,,,,,,,1.0,,1.0,,,N,Y,Y,Y,Y,Y,Y,11.0,N1,53.0,N,20260523193522,N1,Y,,3.0,N1,12.0,,1.0,1.0,,,,,,3.0,0.0,2.0,1.0,1.0,6.0,,,6.0,,0.0,,196.0,,,Y,N1,A1303386,0.0,,3.0,7.0,5.0,,,,,,대구광역시,중구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,계명대학교대구동산병원,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,,,,,대구광역시,중구,,2026-05-23 19:35:48
A1300008,A1300008,곽병원,대구광역시 중구 국채보상로 531 (수동),대구광역시,중구,G007,지역응급의료기관,053-252-2401,053-605-3333,35.870693147975665,128.58872807724623,곽병원,053-605-3333,,,,,,,,,2.0,,,,Y,,Y,N1,N1,Y,8.0,N1,49.0,N1,20260523193440,N1,Y,,4.0,N1,10.0,,,2.0,,,,,,4.0,,1.0,1.0,,2.0,,,,,,,221.0,,,Y,N1,A1300008,,,,,,,,,,,대구광역시,중구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,곽병원,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,,,,,대구광역시,중구,,2026-05-23 19:35:48
A1300081,A1300081,(재)미리내천주성삼성직수도회천주성삼병원,"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)",대구광역시,수성구,G007,지역응급의료기관,053-790-1000,053-790-0555,35.84022544517349,128.70573339664242,(재)미리내천주성삼성직수도회천주성삼병원,053-790-0555,,,,,,,,,1.0,,,,Y,,Y,N1,N1,Y,5.0,N1,24.0,N1,20260523193501,N1,Y,,4.0,N1,9.0,,,1.0,,,,,,4.0,,1.0,2.0,,4.0,,,,,,,294.0,,,Y,N1,A1300081,,,,,,,,,,,대구광역시,수성구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,(재)미리내천주성삼성직수도회천주성삼병원,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,대구광역시,수성구,,2026-05-23 19:35:48
A1300007,A1300007,대구의료원,대구광역시 서구 평리로 157 (중리동),대구광역시,서구,G007,지역응급의료기관,053-560-7575,053-560-7288,35.859623434747526,128.5405609266984,대구의료원,053-560-7288,,Y,,,,,1.0,,1.0,,,Y,Y,,Y,N1,N1,Y,18.0,N1,39.0,N1,20260523193502,Y,Y,,4.0,N1,18.0,,1.0,1.0,,,,,,4.0,1.0,1.0,1.0,,13.0,,4.0,,,,,254.0,,,Y,N1,A1300007,1.0,0.0,7.0,18.0,1.0,82.0,,2.0,3.0,,대구광역시,서구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,대구의료원,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,대구광역시,서구,,2026-05-23 19:35:48
A1303923,A1303923,더필병원,대구광역시 서구 서대구로 194 (평리동),대구광역시,서구,G009,응급실운영신고기관,053-241-3000,053-241-4119,35.8753003752946,128.555296900418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1300076,A1300076,대구굿모닝병원,"대구광역시 서구 달서로 42, 대구 굿모닝병원 지하2층~11층 (내당동)",대구광역시,서구,G007,지역응급의료기관,053-620-9100,053-620-9119,35.852967092432145,128.574066676267,대구굿모닝병원,053-620-9119,,,,,,,1.0,,1.0,,,,Y,Y,Y,Y,N1,Y,9.0,N1,67.0,N1,20260523193455,N1,Y,,4.0,N1,17.0,,1.0,1.0,,,,,,4.0,,2.0,4.0,2.0,13.0,,,,,,,226.0,,,Y,N1,A1300076,1.0,,3.0,26.0,1.0,,,,,,대구광역시,서구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,대구굿모닝병원,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,대구광역시,서구,,2026-05-23 19:35:48
A1300010,A1300010,칠곡경북대학교병원,"대구광역시 북구 호국로 807, 칠곡경북대학교병원(임상실습동 1~11층 포함) (학정동)",대구광역시,북구,G006,지역응급의료센터,053-200-2000,053-200-2100,35.9560830613237,128.564408469835,칠곡경북대학교병원,053-200-2100,Y,Y,,,7.0,-1.0,1.0,9.0,2.0,,0.0,Y,Y,Y,Y,Y,Y,Y,13.0,Y,301.0,Y,20260523193306,Y,Y,20.0,19.0,N1,23.0,7.0,1.0,3.0,,10.0,14.0,39.0,0.0,19.0,2.0,8.0,5.0,8.0,52.0,9.0,27.0,9.0,3.0,1.0,,762.0,,,Y,Y,A1300010,2.0,12.0,,,2.0,20.0,,13.0,13.0,,대구광역시,북구,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,10.0,,1.0,,,,,1.0,,,,,,,1.0,1.0,6.0,2.0,8.0,1.0,2026-05-23 19:35:48,칠곡경북대학교병원,N,UNKNOWN,N,Y,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,N,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,대구광역시,북구,,2026-05-23 19:35:48
